,index,drugA,drugB,event,label
34,5364,Fluvoxamine,Esketamine,The risk or severity of adverse effects increase,2
35,5374,Trazodone,Fluvoxamine,The risk or severity of serotonin syndrome increase,21
36,5381,Fluvoxamine,Escitalopram,The risk or severity of serotonin syndrome increase,21
37,5403,Fluoxetine,Fluvoxamine,The serum concentration increase,4
38,22922,Citalopram,Fluoxetine,The serum concentration increase,4
39,22927,Citalopram,Clomipramine,The serum concentration increase,4
40,22946,Citalopram,Sertraline,The serum concentration increase,4
41,22953,Bupropion,Citalopram,The risk or severity of adverse effects increase,2
42,22972,Citalopram,Mirtazapine,the serotonergic activities increase,41
43,22991,Citalopram,Zimelidine,The risk or severity of adverse effects increase,2
44,23053,Agomelatine,Citalopram,The risk or severity of adverse effects increase,2
45,23061,Brexanolone,Citalopram,The risk or severity of adverse effects increase,2
46,23076,Citalopram,Reboxetine,The risk or severity of adverse effects increase,2
47,23088,Citalopram,Maprotiline,The risk or severity of adverse effects increase,2
48,23091,Citalopram,Nefazodone,The risk or severity of adverse effects increase,2
49,23103,Citalopram,Cariprazine,The risk or severity of adverse effects increase,2
50,23105,Citalopram,Mianserin,The risk or severity of adverse effects increase,2
51,23109,Citalopram,Desvenlafaxine,The risk or severity of adverse effects increase,2
52,23111,Citalopram,Levomilnacipran,The risk or severity of adverse effects increase,2
53,23113,Citalopram,Vortioxetine,The risk or severity of adverse effects increase,2
54,23115,Citalopram,Viloxazine,The risk or severity of adverse effects increase,2
55,23124,Doxepin,Citalopram,The risk or severity of adverse effects increase,2
56,23128,Nortriptyline,Citalopram,The risk or severity of adverse effects increase,2
57,23129,Amoxapine,Citalopram,The risk or severity of adverse effects increase,2
58,23132,Trimipramine,Citalopram,The risk or severity of adverse effects increase,2
59,23248,Citalopram,Quetiapine,The risk or severity of QTc prolongation increase,5
60,23316,Venlafaxine,Citalopram,The metabolism decrease,0
61,23318,Duloxetine,Citalopram,The metabolism decrease,0
62,23320,Vilazodone,Citalopram,The metabolism decrease,0
63,23322,Citalopram,Desipramine,The metabolism decrease,0
64,23528,Citalopram,Paroxetine,the QTcprolonging activities increase,40
65,23534,Imipramine,Citalopram,the QTcprolonging activities increase,40
66,23563,Dosulepin,Citalopram,the QTcprolonging activities increase,40
67,23599,Tranylcypromine,Citalopram,The risk or severity of serotonin syndrome increase,21
68,23600,Phenelzine,Citalopram,The risk or severity of serotonin syndrome increase,21
69,23602,Selegiline,Citalopram,The risk or severity of serotonin syndrome increase,21
70,23604,Moclobemide,Citalopram,The risk or severity of serotonin syndrome increase,21
71,23613,Amitriptyline,Citalopram,The metabolism decrease,0
72,23614,Citalopram,Esketamine,The risk or severity of adverse effects increase,2
73,23621,Trazodone,Citalopram,The risk or severity of QTc prolongation increase,5
74,23627,Citalopram,Escitalopram,The risk or severity of serotonin syndrome increase,21
75,28242,Reboxetine,Mirtazapine,the central nervous system depressant ( CNS depressant ) activities increase,7
76,28263,Reboxetine,Zimelidine,The risk or severity of adverse effects increase,2
77,28265,Reboxetine,Duloxetine,The risk or severity of adverse effects increase,2
78,28266,Reboxetine,Trazodone,The risk or severity of adverse effects increase,2
79,28267,Reboxetine,Paroxetine,The risk or severity of adverse effects increase,2
80,28268,Reboxetine,Sertraline,The risk or severity of adverse effects increase,2
81,28270,Reboxetine,Nefazodone,The risk or severity of adverse effects increase,2
82,28271,Reboxetine,Escitalopram,The risk or severity of adverse effects increase,2
83,28273,Reboxetine,Desvenlafaxine,The risk or severity of adverse effects increase,2
84,28274,Reboxetine,Levomilnacipran,The risk or severity of adverse effects increase,2
85,28291,Reboxetine,Imipramine,the central nervous system depressant ( CNS depressant ) activities increase,7
86,28294,Reboxetine,Doxepin,the central nervous system depressant ( CNS depressant ) activities increase,7
87,28298,Reboxetine,Nortriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
88,28299,Reboxetine,Amoxapine,the central nervous system depressant ( CNS depressant ) activities increase,7
89,28300,Reboxetine,Desipramine,the central nervous system depressant ( CNS depressant ) activities increase,7
90,28396,Reboxetine,Agomelatine,The risk or severity of adverse effects increase,2
91,28410,Reboxetine,Brexanolone,The risk or severity of adverse effects increase,2
92,28441,Reboxetine,Trimipramine,The risk or severity of adverse effects increase,2
93,28442,Reboxetine,Clomipramine,The risk or severity of adverse effects increase,2
94,28443,Reboxetine,Venlafaxine,The risk or severity of adverse effects increase,2
95,28463,Reboxetine,Tranylcypromine,The risk or severity of adverse effects increase,2
96,28464,Reboxetine,Phenelzine,The risk or severity of adverse effects increase,2
97,28474,Reboxetine,Maprotiline,The risk or severity of adverse effects increase,2
98,28476,Reboxetine,Selegiline,The risk or severity of adverse effects increase,2
99,28477,Reboxetine,Bupropion,The risk or severity of adverse effects increase,2
100,28478,Reboxetine,Moclobemide,The risk or severity of adverse effects increase,2
101,28480,Reboxetine,Quetiapine,The risk or severity of adverse effects increase,2
102,28495,Reboxetine,Cariprazine,The risk or severity of adverse effects increase,2
103,28497,Reboxetine,Mianserin,The risk or severity of adverse effects increase,2
104,28502,Reboxetine,Vilazodone,The risk or severity of adverse effects increase,2
105,28506,Reboxetine,Vortioxetine,The risk or severity of adverse effects increase,2
106,28508,Reboxetine,Viloxazine,The risk or severity of adverse effects increase,2
107,28613,Dosulepin,Reboxetine,The metabolism decrease,0
108,28627,Amitriptyline,Reboxetine,The metabolism decrease,0
109,28628,Reboxetine,Esketamine,The risk or severity of adverse effects increase,2
110,28640,Reboxetine,Fluoxetine,the central nervous system depressant ( CNS depressant ) activities increase,7
111,43441,Venlafaxine,Trazodone,the serotonergic activities increase,41
112,43446,Venlafaxine,Mirtazapine,the serotonergic activities increase,41
113,43450,Venlafaxine,Zimelidine,The risk or severity of adverse effects increase,2
114,43453,Venlafaxine,Desvenlafaxine,The risk or severity of adverse effects increase,2
115,43603,Imipramine,Venlafaxine,The metabolism decrease,0
116,43604,Duloxetine,Venlafaxine,The metabolism decrease,0
117,43606,Nortriptyline,Venlafaxine,The metabolism decrease,0
118,43607,Amoxapine,Venlafaxine,The metabolism decrease,0
119,43609,Paroxetine,Venlafaxine,The metabolism decrease,0
120,43610,Trimipramine,Venlafaxine,The metabolism decrease,0
121,43612,Tranylcypromine,Venlafaxine,The metabolism decrease,0
122,43617,Maprotiline,Venlafaxine,The metabolism decrease,0
123,43618,Selegiline,Venlafaxine,The metabolism decrease,0
124,43620,Sertraline,Venlafaxine,The metabolism decrease,0
125,43621,Doxepin,Venlafaxine,The metabolism decrease,0
126,43622,Nefazodone,Venlafaxine,The metabolism decrease,0
127,43623,Moclobemide,Venlafaxine,The metabolism decrease,0
128,43624,Quetiapine,Venlafaxine,The metabolism decrease,0
129,43626,Clomipramine,Venlafaxine,The metabolism decrease,0
130,43632,Cariprazine,Venlafaxine,The metabolism decrease,0
131,43634,Mianserin,Venlafaxine,The metabolism decrease,0
132,43636,Vilazodone,Venlafaxine,The metabolism decrease,0
133,43637,Levomilnacipran,Venlafaxine,The metabolism decrease,0
134,43639,Vortioxetine,Venlafaxine,The metabolism decrease,0
135,43640,Dosulepin,Venlafaxine,The metabolism decrease,0
136,43804,Venlafaxine,Agomelatine,The risk or severity of adverse effects increase,2
137,43815,Venlafaxine,Brexanolone,The risk or severity of adverse effects increase,2
138,43842,Venlafaxine,Phenelzine,the serotonergic activities increase,41
139,43898,Venlafaxine,Viloxazine,The risk or severity of adverse effects increase,2
140,44214,Amitriptyline,Venlafaxine,The metabolism decrease,0
141,44215,Venlafaxine,Esketamine,The risk or severity of adverse effects increase,2
142,44226,Venlafaxine,Escitalopram,The risk or severity of serotonin syndrome increase,21
143,44232,Desipramine,Desipramine,The serum concentration of the active metabolites increase,95
144,44233,Venlafaxine,Bupropion,The risk or severity of seizure increase,63
145,44238,Fluoxetine,Venlafaxine,The serum concentration increase,4
146,54842,Amitriptyline,Mianserin,the anticholinergic activities increase,60
147,54863,Amitriptyline,Mirtazapine,the serotonergic activities increase,41
148,54868,Amitriptyline,Zimelidine,The risk or severity of adverse effects increase,2
149,54958,Brexanolone,Amitriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
150,54978,Amitriptyline,Vortioxetine,the central nervous system depressant ( CNS depressant ) activities increase,7
151,54979,Amitriptyline,Maprotiline,the central nervous system depressant ( CNS depressant ) activities increase,7
152,55024,Cariprazine,Amitriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
153,55034,Viloxazine,Amitriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
154,55125,Amitriptyline,Quetiapine,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
155,55135,Amitriptyline,Amoxapine,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
156,55136,Trimipramine,Amitriptyline,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
157,55169,Amitriptyline,Desvenlafaxine,The risk or severity of adverse effects increase,2
158,55170,Amitriptyline,Levomilnacipran,The risk or severity of adverse effects increase,2
159,55478,Agomelatine,Amitriptyline,The metabolism decrease,0
160,55607,Amitriptyline,Imipramine,The metabolism decrease,0
161,55609,Amitriptyline,Fluoxetine,The metabolism decrease,0
162,55610,Amitriptyline,Duloxetine,The metabolism decrease,0
163,55616,Amitriptyline,Nortriptyline,The metabolism decrease,0
164,55633,Amitriptyline,Paroxetine,The metabolism decrease,0
165,55634,Amitriptyline,Tranylcypromine,The metabolism decrease,0
166,55636,Amitriptyline,Phenelzine,The metabolism decrease,0
167,55653,Amitriptyline,Selegiline,The metabolism decrease,0
168,55660,Amitriptyline,Sertraline,The metabolism decrease,0
169,55667,Amitriptyline,Doxepin,The metabolism decrease,0
170,55668,Amitriptyline,Nefazodone,The metabolism decrease,0
171,55669,Amitriptyline,Desipramine,The metabolism decrease,0
172,55670,Amitriptyline,Moclobemide,The metabolism decrease,0
173,55672,Amitriptyline,Escitalopram,The metabolism decrease,0
174,55679,Amitriptyline,Clomipramine,The metabolism decrease,0
175,55705,Amitriptyline,Vilazodone,The metabolism decrease,0
176,55714,Amitriptyline,Dosulepin,The metabolism decrease,0
177,55734,Esketamine,Amitriptyline,The risk or severity of hypertension increase,9
178,55743,Trazodone,Amitriptyline,The risk or severity of QTc prolongation increase,5
179,55751,Bupropion,Amitriptyline,The risk or severity of seizure increase,63
180,72215,Agomelatine,Mirtazapine,the central nervous system depressant ( CNS depressant ) activities increase,7
181,72226,Brexanolone,Mirtazapine,the central nervous system depressant ( CNS depressant ) activities increase,7
182,72245,Mirtazapine,Bupropion,the central nervous system depressant ( CNS depressant ) activities increase,7
183,72259,Mirtazapine,Viloxazine,the central nervous system depressant ( CNS depressant ) activities increase,7
184,72340,Imipramine,Mirtazapine,the serotonergic activities increase,41
185,72341,Fluoxetine,Mirtazapine,the serotonergic activities increase,41
186,72342,Duloxetine,Mirtazapine,the serotonergic activities increase,41
187,72347,Nortriptyline,Mirtazapine,the serotonergic activities increase,41
188,72348,Amoxapine,Mirtazapine,the serotonergic activities increase,41
189,72354,Trazodone,Mirtazapine,the serotonergic activities increase,41
190,72361,Paroxetine,Mirtazapine,the serotonergic activities increase,41
191,72363,Trimipramine,Mirtazapine,the serotonergic activities increase,41
192,72365,Tranylcypromine,Mirtazapine,the serotonergic activities increase,41
193,72367,Phenelzine,Mirtazapine,the serotonergic activities increase,41
194,72380,Maprotiline,Mirtazapine,the serotonergic activities increase,41
195,72386,Selegiline,Mirtazapine,the serotonergic activities increase,41
196,72390,Sertraline,Mirtazapine,the serotonergic activities increase,41
197,72393,Doxepin,Mirtazapine,the serotonergic activities increase,41
198,72394,Nefazodone,Mirtazapine,the serotonergic activities increase,41
199,72395,Desipramine,Mirtazapine,the serotonergic activities increase,41
200,72397,Moclobemide,Mirtazapine,the serotonergic activities increase,41
201,72398,Escitalopram,Mirtazapine,the serotonergic activities increase,41
202,72402,Quetiapine,Mirtazapine,the serotonergic activities increase,41
203,72407,Clomipramine,Mirtazapine,the serotonergic activities increase,41
204,72420,Zimelidine,Mirtazapine,the serotonergic activities increase,41
205,72429,Cariprazine,Mirtazapine,the serotonergic activities increase,41
206,72431,Mianserin,Mirtazapine,the serotonergic activities increase,41
207,72436,Vilazodone,Mirtazapine,the serotonergic activities increase,41
208,72437,Desvenlafaxine,Mirtazapine,the serotonergic activities increase,41
209,72441,Levomilnacipran,Mirtazapine,the serotonergic activities increase,41
210,72443,Vortioxetine,Mirtazapine,the serotonergic activities increase,41
211,72445,Dosulepin,Mirtazapine,the serotonergic activities increase,41
212,72782,Esketamine,Mirtazapine,The risk or severity of hypertension increase,9
213,98106,Imipramine,Duloxetine,The risk or severity of orthostatic hypotension and syncope increase,71
214,98141,Imipramine,Mianserin,the anticholinergic activities increase,60
215,98155,Agomelatine,Imipramine,The serum concentration increase,4
216,98164,Imipramine,Zimelidine,The risk or severity of adverse effects increase,2
217,98229,Phenelzine,Imipramine,the serotonergic activities increase,41
218,98240,Brexanolone,Imipramine,the central nervous system depressant ( CNS depressant ) activities increase,7
219,98295,Viloxazine,Imipramine,the central nervous system depressant ( CNS depressant ) activities increase,7
220,98438,Nortriptyline,Imipramine,The metabolism decrease,0
221,98439,Amoxapine,Imipramine,The metabolism decrease,0
222,98441,Paroxetine,Imipramine,The metabolism decrease,0
223,98442,Trimipramine,Imipramine,The metabolism decrease,0
224,98443,Tranylcypromine,Imipramine,The metabolism decrease,0
225,98448,Maprotiline,Imipramine,The metabolism decrease,0
226,98449,Selegiline,Imipramine,The metabolism decrease,0
227,98451,Sertraline,Imipramine,The metabolism decrease,0
228,98452,Doxepin,Imipramine,The metabolism decrease,0
229,98453,Nefazodone,Imipramine,The metabolism decrease,0
230,98454,Desipramine,Imipramine,The metabolism decrease,0
231,98455,Moclobemide,Imipramine,The metabolism decrease,0
232,98456,Quetiapine,Imipramine,The metabolism decrease,0
233,98458,Clomipramine,Imipramine,The metabolism decrease,0
234,98463,Cariprazine,Imipramine,The metabolism decrease,0
235,98466,Vilazodone,Imipramine,The metabolism decrease,0
236,98467,Levomilnacipran,Imipramine,The metabolism decrease,0
237,98469,Vortioxetine,Imipramine,The metabolism decrease,0
238,98470,Dosulepin,Imipramine,The metabolism decrease,0
239,98628,Imipramine,Desvenlafaxine,The risk or severity of adverse effects increase,2
240,98863,Esketamine,Imipramine,The risk or severity of hypertension increase,9
241,98870,Trazodone,Imipramine,The risk or severity of QTc prolongation increase,5
242,98874,Fluoxetine,Imipramine,The serum concentration increase,4
243,98878,Imipramine,Escitalopram,The risk or severity of serotonin syndrome increase,21
244,98881,Bupropion,Imipramine,The risk or severity of seizure increase,63
245,103191,Fluoxetine,Esketamine,The risk or severity of adverse effects increase,2
246,103198,Fluoxetine,Phenelzine,The risk or severity of serotonin syndrome increase,21
247,103199,Trazodone,Fluoxetine,The risk or severity of QTc prolongation increase,5
248,103204,Nortriptyline,Fluoxetine,The serum concentration increase,4
249,103205,Amoxapine,Fluoxetine,The serum concentration increase,4
250,103206,Trimipramine,Fluoxetine,The serum concentration increase,4
251,103207,Doxepin,Fluoxetine,The serum concentration increase,4
252,103208,Desipramine,Fluoxetine,The serum concentration increase,4
253,103209,Clomipramine,Fluoxetine,The serum concentration increase,4
254,103210,Dosulepin,Fluoxetine,The serum concentration increase,4
255,103217,Fluoxetine,Escitalopram,The risk or severity of serotonin syndrome increase,21
256,103220,Fluoxetine,Bupropion,The risk or severity of seizure increase,63
257,103240,Duloxetine,Fluoxetine,The serum concentration increase,4
258,103242,Paroxetine,Fluoxetine,The serum concentration increase,4
259,103247,Maprotiline,Fluoxetine,The serum concentration increase,4
260,103248,Selegiline,Fluoxetine,The serum concentration increase,4
261,103249,Sertraline,Fluoxetine,The serum concentration increase,4
262,103250,Nefazodone,Fluoxetine,The serum concentration increase,4
263,103251,Moclobemide,Fluoxetine,The serum concentration increase,4
264,103252,Quetiapine,Fluoxetine,The serum concentration increase,4
265,103258,Cariprazine,Fluoxetine,The serum concentration increase,4
266,103260,Mianserin,Fluoxetine,The serum concentration increase,4
267,103262,Vilazodone,Fluoxetine,The serum concentration increase,4
268,103263,Levomilnacipran,Fluoxetine,The serum concentration increase,4
269,103265,Vortioxetine,Fluoxetine,The serum concentration increase,4
270,103402,Fluoxetine,Zimelidine,The risk or severity of serotonin syndrome increase,21
271,103421,Fluoxetine,Tranylcypromine,The risk or severity of serotonin syndrome increase,21
272,103428,Fluoxetine,Desvenlafaxine,The risk or severity of serotonin syndrome increase,21
273,103470,Agomelatine,Fluoxetine,the central nervous system depressant ( CNS depressant ) activities increase,7
274,103477,Brexanolone,Fluoxetine,the central nervous system depressant ( CNS depressant ) activities increase,7
275,103512,Fluoxetine,Viloxazine,the central nervous system depressant ( CNS depressant ) activities increase,7
276,104184,Tranylcypromine,Duloxetine,The risk or severity of orthostatic hypotension and syncope increase,71
277,104187,Phenelzine,Duloxetine,The risk or severity of orthostatic hypotension and syncope increase,71
278,104205,Selegiline,Duloxetine,The risk or severity of orthostatic hypotension and syncope increase,71
279,104216,Quetiapine,Duloxetine,The risk or severity of orthostatic hypotension and syncope increase,71
280,104220,Clomipramine,Duloxetine,The risk or severity of orthostatic hypotension and syncope increase,71
281,104293,Duloxetine,Zimelidine,The risk or severity of adverse effects increase,2
282,104338,Agomelatine,Duloxetine,The risk or severity of adverse effects increase,2
283,104348,Brexanolone,Duloxetine,The risk or severity of adverse effects increase,2
284,104376,Duloxetine,Desvenlafaxine,The risk or severity of adverse effects increase,2
285,104379,Duloxetine,Viloxazine,The risk or severity of adverse effects increase,2
286,104450,Duloxetine,Moclobemide,the serotonergic activities increase,41
287,104547,Nortriptyline,Duloxetine,The metabolism decrease,0
288,104548,Amoxapine,Duloxetine,The metabolism decrease,0
289,104549,Paroxetine,Duloxetine,The metabolism decrease,0
290,104550,Trimipramine,Duloxetine,The metabolism decrease,0
291,104555,Maprotiline,Duloxetine,The metabolism decrease,0
292,104556,Sertraline,Duloxetine,The metabolism decrease,0
293,104557,Doxepin,Duloxetine,The metabolism decrease,0
294,104558,Nefazodone,Duloxetine,The metabolism decrease,0
295,104559,Desipramine,Duloxetine,The metabolism decrease,0
296,104564,Cariprazine,Duloxetine,The metabolism decrease,0
297,104566,Mianserin,Duloxetine,The metabolism decrease,0
298,104568,Vilazodone,Duloxetine,The metabolism decrease,0
299,104569,Levomilnacipran,Duloxetine,The metabolism decrease,0
300,104571,Vortioxetine,Duloxetine,The metabolism decrease,0
301,104572,Dosulepin,Duloxetine,The metabolism decrease,0
302,104654,Bupropion,Duloxetine,The metabolism decrease,0
303,104933,Duloxetine,Esketamine,The risk or severity of adverse effects increase,2
304,104936,Trazodone,Duloxetine,The risk or severity of serotonin syndrome increase,21
305,104940,Duloxetine,Escitalopram,The risk or severity of serotonin syndrome increase,21
306,121020,Nortriptyline,Mianserin,the anticholinergic activities increase,60
307,121066,Nortriptyline,Sertraline,The risk or severity of adverse effects increase,2
308,121067,Nortriptyline,Zimelidine,The risk or severity of adverse effects increase,2
309,121155,Phenelzine,Nortriptyline,the serotonergic activities increase,41
310,121157,Selegiline,Nortriptyline,the serotonergic activities increase,41
311,121158,Moclobemide,Nortriptyline,the serotonergic activities increase,41
312,121173,Brexanolone,Nortriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
313,121206,Nortriptyline,Maprotiline,the central nervous system depressant ( CNS depressant ) activities increase,7
314,121241,Clomipramine,Nortriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
315,121248,Cariprazine,Nortriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
316,121256,Vortioxetine,Nortriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
317,121260,Viloxazine,Nortriptyline,the central nervous system depressant ( CNS depressant ) activities increase,7
318,121317,Tranylcypromine,Nortriptyline,The metabolism decrease,0
319,121318,Desipramine,Nortriptyline,The metabolism decrease,0
320,121319,Vilazodone,Nortriptyline,The metabolism decrease,0
321,121320,Dosulepin,Nortriptyline,The metabolism decrease,0
322,121342,Paroxetine,Nortriptyline,The metabolism decrease,0
323,121360,Nortriptyline,Nefazodone,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
324,121361,Nortriptyline,Amoxapine,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
325,121362,Nortriptyline,Quetiapine,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
326,121365,Trimipramine,Nortriptyline,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
327,121397,Nortriptyline,Desvenlafaxine,The risk or severity of adverse effects increase,2
328,121398,Nortriptyline,Levomilnacipran,The risk or severity of adverse effects increase,2
329,121592,Agomelatine,Nortriptyline,The metabolism decrease,0
330,121642,Esketamine,Nortriptyline,The risk or severity of hypertension increase,9
331,121645,Trazodone,Nortriptyline,The risk or severity of QTc prolongation increase,5
332,121652,Nortriptyline,Escitalopram,The risk or severity of serotonin syndrome increase,21
333,121655,Nortriptyline,Bupropion,The risk or severity of seizure increase,63
334,121659,Doxepin,Nortriptyline,The serum concentration increase,4
335,122543,Amoxapine,Mianserin,the anticholinergic activities increase,60
336,122594,Phenelzine,Amoxapine,The risk or severity of adverse effects increase,2
337,122596,Selegiline,Amoxapine,The risk or severity of adverse effects increase,2
338,122597,Moclobemide,Amoxapine,The risk or severity of adverse effects increase,2
339,122606,Amoxapine,Zimelidine,The risk or severity of adverse effects increase,2
340,122607,Amoxapine,Sertraline,The risk or severity of adverse effects increase,2
341,122749,Brexanolone,Amoxapine,the central nervous system depressant ( CNS depressant ) activities increase,7
342,122766,Amoxapine,Maprotiline,the central nervous system depressant ( CNS depressant ) activities increase,7
343,122782,Clomipramine,Amoxapine,the central nervous system depressant ( CNS depressant ) activities increase,7
344,122785,Cariprazine,Amoxapine,the central nervous system depressant ( CNS depressant ) activities increase,7
345,122791,Vortioxetine,Amoxapine,the central nervous system depressant ( CNS depressant ) activities increase,7
346,122862,Tranylcypromine,Amoxapine,The metabolism decrease,0
347,122863,Desipramine,Amoxapine,The metabolism decrease,0
348,122864,Vilazodone,Amoxapine,The metabolism decrease,0
349,122865,Dosulepin,Amoxapine,The metabolism decrease,0
350,122888,Paroxetine,Amoxapine,The metabolism decrease,0
351,122902,Amoxapine,Agomelatine,The risk or severity of adverse effects increase,2
352,122916,Amoxapine,Nefazodone,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
353,122917,Amoxapine,Doxepin,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
354,122918,Amoxapine,Quetiapine,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
355,122920,Trimipramine,Amoxapine,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
356,122951,Amoxapine,Viloxazine,The risk or severity of adverse effects increase,2
357,122961,Amoxapine,Desvenlafaxine,The risk or severity of adverse effects increase,2
358,122962,Amoxapine,Levomilnacipran,The risk or severity of adverse effects increase,2
359,123037,Esketamine,Amoxapine,The risk or severity of hypertension increase,9
360,123040,Trazodone,Amoxapine,The risk or severity of QTc prolongation increase,5
361,123046,Amoxapine,Escitalopram,The risk or severity of serotonin syndrome increase,21
362,123049,Amoxapine,Bupropion,The risk or severity of seizure increase,63
363,151555,Nefazodone,Trazodone,The serum concentration increase,4
364,151567,Tranylcypromine,Trazodone,the serotonergic activities increase,41
365,151568,Phenelzine,Trazodone,the serotonergic activities increase,41
366,151570,Selegiline,Trazodone,the serotonergic activities increase,41
367,151572,Moclobemide,Trazodone,the serotonergic activities increase,41
368,151620,Agomelatine,Trazodone,The risk or severity of adverse effects increase,2
369,151628,Brexanolone,Trazodone,The risk or severity of adverse effects increase,2
370,151649,Trazodone,Viloxazine,The risk or severity of adverse effects increase,2
371,151839,Esketamine,Trazodone,The risk or severity of hypertension increase,9
372,151871,Trazodone,Desvenlafaxine,The risk or severity of serotonin syndrome increase,21
373,151879,Trazodone,Levomilnacipran,The risk or severity of serotonin syndrome increase,21
374,151881,Trazodone,Vortioxetine,The risk or severity of serotonin syndrome increase,21
375,151882,Trazodone,Vilazodone,The risk or severity of serotonin syndrome increase,21
376,151890,Trazodone,Zimelidine,The risk or severity of serotonin syndrome increase,21
377,151897,Trazodone,Cariprazine,The risk or severity of serotonin syndrome increase,21
378,151906,Trazodone,Mianserin,The risk or severity of serotonin syndrome increase,21
379,151920,Paroxetine,Trazodone,The risk or severity of serotonin syndrome increase,21
380,151929,Trazodone,Escitalopram,The risk or severity of QTc prolongation increase,5
381,151949,Trazodone,Quetiapine,The risk or severity of QTc prolongation increase,5
382,151972,Trazodone,Clomipramine,The risk or severity of QTc prolongation increase,5
383,151977,Trazodone,Trimipramine,The risk or severity of QTc prolongation increase,5
384,151986,Trazodone,Maprotiline,The risk or severity of QTc prolongation increase,5
385,151998,Trazodone,Sertraline,The risk or severity of QTc prolongation increase,5
386,151999,Trazodone,Doxepin,The risk or severity of QTc prolongation increase,5
387,152000,Trazodone,Desipramine,The risk or severity of QTc prolongation increase,5
388,152040,Trazodone,Dosulepin,The risk or severity of QTc prolongation increase,5
389,152091,Trazodone,Bupropion,The risk or severity of seizure increase,63
390,167121,Paroxetine,Mianserin,the anticholinergic activities increase,60
391,167133,Vortioxetine,Paroxetine,The metabolism decrease,0
392,167136,Bupropion,Paroxetine,The risk or severity of adverse effects increase,2
393,167152,Paroxetine,Zimelidine,The risk or severity of adverse effects increase,2
394,167191,Agomelatine,Paroxetine,The risk or severity of adverse effects increase,2
395,167200,Brexanolone,Paroxetine,The risk or severity of adverse effects increase,2
396,167226,Paroxetine,Desvenlafaxine,The risk or severity of adverse effects increase,2
